siteID,depMEAN_NO2__Plume,depMEAN_VOC__Plume,depMEAN_pm_10__Plu,depMEAN_pm_1__Plum,depMEAN_pm_2_5__Pl,siteID_INT,p_XCOORD,p_YCOORD,pG_tri_raster_val,pG_slope_raster_val,pG_hw_raster_val,pG_hs_raster_val,pG_rr_raster_val,pD_parkd_none_dist,pD_waterd_none_dist,pG_park_raster_val,pG_waterd_raster_val,pG_elev_raster_val,pD_soundd_none_dist,pF_trid_none_dist,pE_hwd_none_dist,pE_hsd_none_dist,pE_rrd_none_dist
239,25.0,1.0,19.0,3.0,4.0,239,1149379.8445856422,702486.9258520603,1.0,0.5967727303504944,3.0,6.0,3.0,1177.603582805234,1662.453914387383,9.0,4.0,107.7694320678711,10936.699554695437,3830.6008494375133,2779.5570486393485,2.6588281678340824,4177.34313464617
240,34.0,0.0,3.0,3.0,4.0,240,1143753.178345561,702630.9885560572,0.0,1.0585013628005981,2.0,6.0,0.0,39.88019844404133,1081.2101406369306,12.0,3.0,105.33679962158203,13132.037446397044,7783.460277992336,520.2752966899951,31.52084779799921,7451.725026534062
241,30.0,1.0,3.0,3.0,4.0,241,1143218.1078933924,702646.0236309767,0.0,1.0160940885543823,2.0,6.0,0.0,118.1950768090597,1296.0688049193118,12.0,3.0,103.21598052978516,12605.122915394173,8229.324150498498,24.291049362222275,30.0576923589008,7827.744879233517
242,24.0,1.0,3.0,3.0,4.0,242,1141051.1312562227,702701.8834273964,0.0,0.569378674030304,2.0,8.0,0.0,130.34782503683653,405.2823026252513,10.0,6.0,92.37998962402344,10481.078848283307,9768.986014039401,1205.7107608564065,1293.7818450007192,9345.960277592769
243,28.0,1.0,3.0,3.0,4.0,243,1149190.9981785566,702496.4041795582,1.0,0.2924566864967346,2.0,6.0,3.0,1096.401639993132,1773.9829745324644,9.0,5.0,109.1123275756836,11123.834706692838,3901.368597835758,2776.9062693722494,3.567868823450723,4245.624586707781
244,22.0,1.0,3.0,3.0,4.0,244,1140161.698651895,702724.9457172304,0.0,0.3760715126991272,2.0,8.0,0.0,976.3765863664346,1086.7165424445404,12.0,6.0,89.89631652832031,9614.874050563629,10465.619242621935,1999.454832620014,421.91257169240123,9569.43409628803
245,23.0,1.0,3.0,3.0,4.0,245,1145473.0479373038,702590.37019898,0.0,0.38429951667785645,2.0,6.0,0.0,28.644276797449994,194.83561449316522,10.0,4.0,95.61910247802734,13673.098577387378,6312.814728083793,2239.848540939793,7.975243010541833,6252.140161815123
246,20.0,1.0,3.0,3.0,4.0,246,1140598.529471144,702715.9821524769,0.0,0.4593881070613861,2.0,8.0,0.0,571.4793405235025,703.3595681864468,11.0,6.0,94.3346176147461,10039.183787376824,10121.212827013573,1604.1097009443738,849.333423480827,9678.25889800493
247,27.0,1.0,3.0,3.0,4.0,247,1142655.5312626362,702663.9615872204,0.0,3.3170619010925293,2.0,7.0,0.0,599.9386739553944,1329.2433825130506,11.0,3.0,103.25244903564453,12051.45788788869,8605.641421971633,53.95753467938343,27.646633863760208,8223.76919257771
248,29.0,1.0,3.0,3.0,4.0,248,1150344.7274983823,702470.4212918878,5.0,0.7231188416481018,3.0,6.0,4.0,1837.6725600542925,1398.4841832753013,7.0,4.0,111.23604583740234,9975.793136075534,3636.5653229732,2552.582727117546,1.0324614579242106,3890.4766831876677
