EsdCode,EsdName,DistrictCode,SchoolCode,DistrictName,SchoolName,Subject,IndexAll,IndexAmericanIndian,IndexAsian,IndexBlack,IndexHispanic,IndexWhite,IndexPacificIslander,IndexTwoOrMoreRaces,IndexSpecialEd,IndexLtdEnglish,IndexLowIncome,MetTargetAll,MetTargetAmericanIndian,MetTargetAsian,MetTargetBlack,MetTargetHispanic,MetTargetWhite,MetTargetPacificIslander,MetTargetTwoOrMoreRaces,MetTargetSpecialEd,MetTargetLtdEnglish,MetTargetLowIncome
17801,Puget Sound Educational Service District 121,27010,4109,Tacoma School District,Oakland High School,Reading,-80.3,,,-49.6,,-78.3,,,,,-80.4,No,N<Required,N<Required,N<Required,N<Required,N<Required,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,4283,Tacoma School District,Pearl Street Center,Math,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17801,Puget Sound Educational Service District 121,27010,2169,Tacoma School District,Point Defiance,Math,-22.4,0,0,-5.9,-11.4,-20.7,-33.3,,-59.8,-44.7,-34.4,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2169,Tacoma School District,Point Defiance,Reading,-26.6,0,0,-1.7,-10.3,-24.6,,,-79.1,-84.1,-36.7,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,5320,Tacoma School District,Re-engagement Center,Math,,,,,,,,,,,,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required
17801,Puget Sound Educational Service District 121,27010,5320,Tacoma School District,Re-engagement Center,Reading,,,,,,,,,,,,N<Required,N/A,N/A,N/A,N/A,N<Required,N/A,N/A,N/A,N/A,N<Required
17801,Puget Sound Educational Service District 121,27010,2806,Tacoma School District,Reed,Math,-48.9,,-13.2,,-38.3,,-50,-21.2,-52.2,,-49,No,N/A,N<Required,No,No,No,N<Required,N<Required,N<Required,No,No
17801,Puget Sound Educational Service District 121,27010,2806,Tacoma School District,Reed,Reading,-58.2,,-28.1,-57.7,-51.4,,-1.3,-21.2,-77.5,,-59.4,No,N/A,N<Required,No,No,No,N<Required,N<Required,N<Required,No,No
17801,Puget Sound Educational Service District 121,27010,2275,Tacoma School District,Roosevelt,Math,-62.9,,0,-63,,,-71.4,,,-69.8,-64.9,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2275,Tacoma School District,Roosevelt,Reading,-58.2,,0,-33.2,,,-71.4,-75,,,-58.5,No,N<Required,N<Required,N<Required,No,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,5169,Tacoma School District,Science and Math Institute,Math,-44.8,,-19.5,-41.4,-47.8,-37.6,,0,,,-58.1,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,5169,Tacoma School District,Science and Math Institute,Reading,-33.3,0,-19.5,-29.8,-21.8,-28,0,0,,,-42.1,No,N<Required,N<Required,N<Required,N<Required,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2168,Tacoma School District,Sheridan,Math,-43.1,,,-35.5,-40.7,,-71.4,-12.2,,-51.5,-44.6,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2168,Tacoma School District,Sheridan,Reading,-53.4,0,,-50,-54.3,,-71.4,-24.5,,-79.3,-54.1,No,N<Required,No,No,No,No,N<Required,N<Required,No,No,No
17801,Puget Sound Educational Service District 121,27010,2938,Tacoma School District,Sherman,Math,-23.6,-66.6,0,-33,-9,-17.1,,0,-58.9,,-38,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2938,Tacoma School District,Sherman,Reading,-36.6,-66.6,-2.4,-16.2,-9,-33.5,,-33.3,-42.8,-39.6,-35,No,N<Required,N<Required,N<Required,N<Required,No,N/A,N/A,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3498,Tacoma School District,Skyline,Math,-30.2,,-18.2,-39.4,-13.8,-18.5,,-6.3,-31,-62,-38.5,No,N/A,N<Required,N<Required,N<Required,No,N/A,N/A,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,3498,Tacoma School District,Skyline,Reading,-28.6,,-1.3,-39.4,0,-20.8,,0,-43.6,-42,-36.2,No,N/A,N<Required,N<Required,N<Required,No,N/A,N/A,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,5192,Tacoma School District,Special Services,Math,,,,,,,,,,,,N<Required,N/A,N/A,N<Required,N/A,N<Required,N/A,N/A,N<Required,N/A,N<Required
17801,Puget Sound Educational Service District 121,27010,5192,Tacoma School District,Special Services,Reading,,,,,,,,,,,,N<Required,N/A,N/A,N<Required,N/A,N<Required,N/A,N/A,N<Required,N/A,N<Required
17801,Puget Sound Educational Service District 121,27010,2084,Tacoma School District,Stadium,Math,,,-79.8,,,-90.7,,,,,,No,N<Required,No,No,No,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2084,Tacoma School District,Stadium,Reading,-88.6,-24.5,-75.3,,-79.8,-87.4,,-73,-88.2,,-84.5,No,N<Required,No,No,No,No,N<Required,N<Required,N<Required,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2358,Tacoma School District,Stanley,Math,-37.5,,-33.3,-40.3,-7.3,,-50,-40,-58.6,-56.8,-40.6,No,N/A,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2358,Tacoma School District,Stanley,Reading,-29.9,,0,-25.4,-29.5,,,-40,-45.8,-71.4,-28.2,No,N/A,N<Required,No,N<Required,No,N<Required,N<Required,No,N<Required,No
17801,Puget Sound Educational Service District 121,27010,2359,Tacoma School District,Stewart,Math,-55.3,-36.4,,-59.5,-61.3,-39.2,-24.7,-75,,-68.9,-59.9,No,N<Required,No,No,No,No,N<Required,N<Required,No,N<Required,No
